name,type
Ruby on Rails,developer
Ruby,developer
HTML 5,developer
CSS 3,developer
MySQL,developer
PostgreSQL,developer
NoSQL,developer
RSpec,developer
Git,developer
Go,developer
TDD,developer
BDD,developer
AJAX,developer
Javascript,developer
BackboneJS,developer
AngularJS,developer
EmberJS,developer
Sinatra,developer
Scrum,developer
Agile methodologies,developer
JQuery,developer
REST,developer
Web Design,designer
Logo Design,designer
Graphic Design,designer
Icon Design,designer
UI Design,designer
Mobile Design,designer
UX,designer
Ilustrator,designer
Photoshop,designer
inDesign,designer
Photo editing,designer
Flash,designer
Customer relations,other
Internal relations,other
Agile,other
English,other
Teaching,other
Twitter marketing,other
Facebook marketing,other
Finance,other
E-learning,other
Social media,other
HR Management,other
